,Pressure (kbar),Temperature (degC),Depth (km),Distance from trench (km),log fO2
64,13.79999999999997,494.5237921079995,51.111111111111,116.23751972419501,-21.97910049736711
65,13.69999999999997,492.3590901992985,50.74074074074063,116.23751972419501,-22.080323164691034
66,13.599999999999971,490.1943882905975,50.37037037037026,116.23751972419501,-22.182119929118507
67,13.499999999999972,487.97624584689254,49.99999999999989,116.23751972419501,-22.286673643283688
68,13.399999999999972,485.7227870290336,49.62962962962952,116.23751972419501,-22.39328711710839
69,13.299999999999972,483.46932821117474,49.25925925925915,116.23751972419501,-22.50053565023897
70,13.199999999999973,481.1212537251721,48.888888888888786,116.23751972419501,-22.612356648189504
71,13.099999999999973,478.7616402252265,48.51851851851841,116.23751972419501,-22.72535881678105
72,12.999999999999973,476.37125129034683,48.148148148148046,116.23751972419501,-22.840368889483557
73,12.899999999999974,473.8385476051708,47.77777777777768,116.23751972419501,-22.962152621561966
74,12.799999999999974,471.3058439199948,47.407407407407305,116.23751972419501,-23.08476499138846
75,12.699999999999974,468.72043769241145,47.03703703703694,116.23751972419501,-23.210483733948255
76,12.599999999999975,466.07488059736977,46.66666666666657,116.23751972419501,-23.339691507731118
77,12.499999999999975,463.42932350232803,46.2962962962962,116.23751972419501,-23.469827427422395
78,12.399999999999975,460.7148562235589,45.92592592592583,116.23751972419501,-23.603937883094844
79,12.299999999999976,457.97784566637074,45.555555555555465,116.23751972419501,-23.74004542568692
80,12.199999999999976,455.23983857748226,45.18518518518509,116.23751972419501,-23.87722046478774
81,12.099999999999977,452.47949004136626,44.814814814814724,116.23751972419501,-24.016439027988234
82,11.999999999999977,449.7191415052502,44.44444444444436,116.23751972419501,-24.15672083136615
83,11.899999999999977,446.94438816143986,44.074074074073984,116.23751972419501,-24.29873889738888
84,11.799999999999978,444.1402826153171,43.70370370370362,116.23751972419501,-24.44321330748892
85,11.699999999999978,441.3361770691943,43.33333333333325,116.23751972419501,-24.588821739513065
86,11.599999999999978,438.5020788336916,42.96296296296288,116.23751972419501,-24.736988220759027
87,11.499999999999979,435.6494728196196,42.59259259259251,116.23751972419501,-24.887217444939886
88,11.399999999999979,432.79686680554755,42.22222222222214,116.23751972419501,-25.038660768392322
89,11.29999999999998,429.89404575475953,41.85185185185177,116.23751972419501,-25.193756162626983
90,11.19999999999998,426.98611246356546,41.4814814814814,116.23751972419501,-25.350386505815873
91,11.09999999999998,424.06306942731214,41.111111111111036,116.23751972419501,-25.509065475724892
92,10.99999999999998,421.07729097867724,40.74074074074066,116.23751972419501,-25.672189562263487
93,10.89999999999998,418.09151253004245,40.370370370370296,116.23751972419501,-25.836722859253744
94,10.799999999999981,415.04513987177745,39.99999999999993,116.23751972419501,-26.005742290703402
95,10.699999999999982,411.93398544625427,39.629629629629555,116.23751972419501,-26.179565962915085
96,10.599999999999982,408.82283102073114,39.25925925925919,116.23751972419501,-26.35497559944224
97,10.499999999999982,405.6080037480414,38.88888888888882,116.23751972419501,-26.537379651949095
98,10.399999999999983,402.3621742807327,38.51851851851845,116.23751972419501,-26.723147035623583
99,10.299999999999983,399.1132218000115,38.14814814814808,116.23751972419501,-26.910873852561824
100,10.199999999999983,395.8144599019832,37.777777777777715,116.23751972419501,-27.10309221122559
101,10.099999999999984,392.5156980039549,37.40740740740735,116.23751972419501,-27.297215678112792
102,9.999999999999984,389.21759759483757,37.037037037036974,116.23751972419501,-27.493236536833617
103,9.899999999999984,385.92075028121167,36.66666666666661,116.23751972419501,-27.691149984287037
104,9.799999999999985,382.62390296758576,36.29629629629624,116.23751972419501,-27.89105341766278
105,9.699999999999985,379.3085002576422,35.92592592592587,116.23751972419501,-28.094024360187337
106,9.599999999999985,375.9824180356855,35.5555555555555,116.23751972419501,-28.299677874735877
107,9.499999999999986,372.65633581372884,35.185185185185134,116.23751972419501,-28.50744973486479
108,9.399999999999986,369.27765268465697,34.81481481481476,116.23751972419501,-28.72043937818522
109,9.299999999999986,365.8944700424711,34.44444444444439,116.23751972419501,-28.93594643413482
110,9.199999999999987,362.5118948808069,34.074074074074026,116.23751972419501,-29.153711269244912
111,9.099999999999987,359.13159950345755,33.70370370370365,116.23751972419501,-29.373668699077392
112,8.999999999999988,355.75130412610827,33.333333333333286,116.23751972419501,-29.595990636912635
113,8.899999999999988,352.35067619615927,32.96296296296292,116.23751972419501,-29.821968709713587
114,8.799999999999988,348.9294620170399,32.592592592592545,116.23751972419501,-30.05170085291946
115,8.699999999999989,345.5082478379205,32.22222222222218,116.23751972419501,-30.2839738589312
116,8.599999999999989,342.03645345444124,31.85185185185181,116.23751972419501,-30.522057538228946
117,8.49999999999999,338.550896056444,31.48148148148144,116.23751972419501,-30.76373239644647
118,8.39999999999999,335.0602481780328,31.11111111111107,116.23751972419501,-31.008509867535732
119,8.29999999999999,331.5045739699254,30.7407407407407,116.23751972419501,-31.260413978631117
120,8.19999999999999,327.9488997618179,30.37037037037033,116.23751972419501,-31.515298261379122
121,8.09999999999999,324.3729355872898,29.999999999999964,116.23751972419501,-31.774591445572092
122,7.999999999999991,320.76118076442094,29.629629629629594,116.23751972419501,-32.039463900193205
123,7.8999999999999915,317.1494259415521,29.259259259259224,116.23751972419501,-32.30757760602812
124,7.799999999999992,313.49894192612385,28.888888888888857,116.23751972419501,-32.58171987751121
125,7.699999999999992,309.827447488016,28.518518518518487,116.23751972419501,-32.86079432186952
126,7.5999999999999925,306.1559530499082,28.14814814814812,116.23751972419501,-33.143406172549604
127,7.499999999999993,302.422036686107,27.77777777777775,116.23751972419501,-33.434195952854495
128,7.399999999999993,298.68395886059295,27.40740740740738,116.23751972419501,-34.712071960709025
129,7.299999999999994,294.935594390619,27.037037037037013,116.23751972419501,-35.0255574302449
130,7.199999999999994,291.1521409830143,26.666666666666643,116.23751972419501,-35.34604816300365
131,7.099999999999994,287.3686875754096,26.296296296296273,116.23751972419501,-35.67086546606894
132,6.999999999999995,283.56327565198944,25.925925925925906,116.23751972419501,-36.00192550318285
133,6.899999999999995,279.7370348012524,25.555555555555536,116.23751972419501,-36.339301244852294
134,6.799999999999995,275.91079395051537,25.185185185185166,116.23751972419501,-36.68137912828472
135,6.699999999999996,272.05174558934993,24.8148148148148,116.23751972419501,-37.03110877203719
136,6.599999999999996,268.1846180107609,24.44444444444443,116.23751972419501,-37.38653697350347
137,6.4999999999999964,264.31409160668136,24.07407407407406,116.23751972419501,-37.74738397084812
138,6.399999999999997,260.408732020325,23.70370370370369,116.23751972419501,-38.11662944578526
139,6.299999999999997,256.5033724339686,23.33333333333332,116.23751972419501,-38.49132012858969
140,6.1999999999999975,252.59344654337787,22.96296296296295,116.23751972419501,-38.87200482159337
141,6.099999999999998,248.67600998205634,22.592592592592585,116.23751972419501,-39.25910813347548
142,5.999999999999998,244.7585734207348,22.222222222222214,116.23751972419501,-39.652067508550225
143,5.899999999999999,240.83739141654976,21.851851851851844,116.23751972419501,-40.051384074719095
144,5.799999999999999,236.9143192204652,21.481481481481477,116.23751972419501,-40.45702846558875
145,5.699999999999999,232.9912470243806,21.111111111111107,116.23751972419501,-40.86896110994763
146,5.6,229.07038658097844,20.740740740740737,116.23751972419501,-41.287101987969564
147,5.5,225.14963327007155,20.37037037037037,116.23751972419501,-41.711811941449305
148,5.4,221.22739246417822,20.0,116.23751972419501,-42.143416284676064
