name,,formula,reference,ref_state,G_ref,H_ref,S_ref,v0,k0,k1,k2,k3,k5,k6,v1,v2,v3,v4,Tl,Tlref,kl,l1,l2,dHt,d0,d1,d2,d3,d4,d5,Tdref,Td
BRUCITE,7,Mg(1)O(2)H(2),Berman,368.51,-834868,-925936.6,63.0642,2.468,136.83899,-537.13,-4361949,552694528,0,0,2.2250472,0.00052863,-0.08700441,0.00021712,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIASPORE,8,Al(1)O(2)H(1),Berman,298.84,-920806,-999377.89,35.3082,1.776,143.23953,-1540.409,-323098,6463225,0,0,2.97180367,0,-0.05992916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALCITE,7,Ca(1)C(1)O(3),Berman,355.095,-1129200,-1206819.09,91.7248,3.69,178.18748,-1657.697,-482722,1604928,0,0,0.89068166,0.00227402,-0.14001897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGNESITE,9,Mg(1)C(1)O(3),Berman,346.145,-1029875,-1113636.11,65.21,2.803,162.29663,-1109.267,-4882646,874661888,0,0,2.7,0.001,-0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIDERITE,8,Fe(1)C(1)O(3),Berman,340.745,-678632.25,-751797.86,109.54,2.9395,185.5,-1920,-10000,220000000,0,0,1.7,0.0011,-0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAGONITE,9,Ca(1)C(1)O(3),Berman,355.095,-1128353.67,-1207213.7,88.7,3.42,195,-2100,-10000,220000000,0,0,4.18,0,-0.1345,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOLOMITE,8,Mg(1)Ca(1)C(2)O(6),Berman,701.24,-2162354,-2325248.43,154.89,6.443,328.48267,-2554.425,-4688477,790382336,0,0,3.2,0,-0.10701904,0,0,0,0,0,0,0,-9.423,0,385000,0.01732,0.00000502,10000,298,1423
ANDALUSITE,10,Al(2)Si(1)O(5),Berman,588.385,-2441806,-2589972.17,91.4337,5.147,236.47818,-1102.941,-7526810,936442368,0,0,2.3442462,0.00007189,-0.07700408,0.00019235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KYANITE,7,Al(2)Si(1)O(5),Berman,588.385,-2443370,-2594220.46,82.43,4.412,262.68478,-2001.407,-1999740,-63181880,0,0,2.39725295,0,-0.06459655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SILLIMANITE,11,Al(2)Si(1)O(5),Berman,588.385,-2439265,-2586090.58,95.93,4.983,256.73158,-1887.225,-2977353,250959080,0,0,1.34307044,0,-0.07525587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLAUCOPHANE,11,Na(2)Al(2)Mg(3)Si(8)O(24)H(2),"from Evans (1990, Lithos) update to Cp coefficients by Fang Huang, 2018",3000.3,-11225858,-11960500,535,26.05,1372.84471,-11847.091,-4365077,1,0,0,2.2,0.00088,-0.116,0.00029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAWSONITE,9,Ca(1)Al(2)Si(2)O(10)H(4),Berman,1423.06,-4509709,-4865665.95,229.1759,10.144,728.6731,-8248.055,0,850556416,0,0,2.62833695,0,-0.07688091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUMPELLYITE,11,Ca(4)Al(5)Mg(1)Si(6)O(28)H(7),"from Evans (1990, Lithos)",3783.29,-13448936,-14402300,584,29.55,1576,-10603.8,-28304200,3838351000,0,0,3.467,0,-0.051516,0.0001288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZOISITE,7,Ca(2)Al(3)Si(3)O(13)H(1),Berman,1623.555,-6494148,-6889488.28,297.5759,13.588,749.17041,-6509.281,-2380525,124858368,0,0,3.46695614,0,-0.05151604,0.00012879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLINOZOISITE,12,Ca(2)Al(3)Si(3)O(13)H(1),Berman,1623.555,-6496497,-6894967.74,287.0759,13.673,749.17037,-6509.283,-2380525,124858370,0,0,3.46695614,0,-0.05151604,0.00012879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORSTERITE,10,Mg(2)Si(1)O(4),Berman,494.47,-2055023,-2174419.92,94.01,4.366,238.64137,-2001.261,0,-116243280,0,0,2.94636649,0.00088633,-0.07913336,0.00013513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAYALITE,8,Fe(2)Si(1)O(4),Berman,483.67,-1380154,-1479360.11,150.93,4.63,248.92812,-1923.855,0,-139104096,0,0,2.65457019,0.00079482,-0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONTICELLITE,12,Ca(1)Mg(1)Si(1)O(4),Berman,503.42,-2132222,-2250027.48,108.3,5.148,226.34225,-1542.741,-1179709,-23285888,0,0,2.78631922,0.00076339,-0.09036547,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERWINITE,9,Ca(3)Mg(1)Si(2)O(8),Berman,1015.79,-4309707,-4537497.44,251.7767,9.847,453.61963,-3250.015,0,-344227072,0,0,2.93755865,0.00087235,-0.05505433,0.00013811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRYSOTILE,10,Mg(3)Si(2)O(9)H(4),Berman,1320.195,-4035373,-4363356.18,220.1345,10.72,610.02197,-5581.152,-1857300,195472000,0,0,2.71512687,0.00067351,-0.18102799,0.00045243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSTATITE_CL,12,Mg(1)Si(1)O(3),Berman,359.215,-1458601,-1545926.25,66.3251,3.131,139.95824,-497.034,-4400237,535708928,0,0,2.1915,0.0007492,-0.07496,0.0000448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSTATITE_OR,12,Mg(1)Si(1)O(3),Berman,359.215,-1458181,-1545552.25,66.17,3.133,166.5795,-1200.588,-2270560,279150336,0,0,2.46558172,0.0007467,-0.07493458,0.00004467,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSTATITE_PR,12,Mg(1)Si(1)O(3),Berman,359.215,-1456965,-1543958.64,67.4376,3.242,166.5795,-1200.588,-2270560,279150336,0,0,1.68317,0.0011665,-0.07496,0.0000448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIOPSIDE,8,Mg(1)Ca(1)Si(2)O(6),Berman,727.38,-3026202,-3200583.5,142.5,6.62,305.41333,-1604.931,-7165973,921837568,0,0,2.77951964,0.00083082,-0.08724773,0.00017069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEDENBERGITE,12,Ca(1)Fe(1)Si(2)O(6),Berman,721.98,-2677738,-2840820.3,174.9641,6.795,313.3925,-1762.77,-6171210,809538300,0,0,2.68203091,0.00016188,-0.08922737,0.00023547,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JADEITE,7,Na(1)Al(1)Si(2)O(6),Berman,732.72,-2853285,-3031921.24,133.5739,6.034,311.29297,-2005.101,-5350264,662566912,0,0,2.31184298,0.00025785,-0.08598017,0.00021488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAALPYROXENE,12,Ca(1)Al(2)Si(1)O(6),Berman,732.59,-3122310,-3298766.68,140.7508,6.356,310.69775,-1671.627,-7455263,948781568,0,0,2.2250472,0.00052863,-0.08700441,0.00021712,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FERROSILITE,11,Si(1)Fe(1)O(3),Berman,353.815,-1117472,-1194374.61,95.8822,3.296,169.06058,-1192.971,-2097138,292532960,0,0,3.18076456,0.0007585,-0.09899879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOLLASTONITE,12,Ca(1)Si(1)O(3),Berman,368.165,-1546123,-1631500,81.81,3.983,149.07266,-690.295,-3659348,484349440,0,0,2.81800151,0,-0.12449159,0.00031132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSEUDOWOLLA,11,Ca(1)Si(1)O(3),Berman,368.165,-1543085,-1627427.11,85.2788,4.016,141.15611,-417.232,-5857595,940734976,0,0,2.81800151,0,-0.12449159,0.00031132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TREMOLITE,9,Ca(2)Mg(5)Si(8)O(24)H(2),Berman,2989.62,-11578548,-12305578.13,551.1499,27.268,1229.36007,-6401.9,-32089890,4208807760,0,0,2.43738877,0.00098338,-0.13917727,0.00034809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTHOPHYLLITE,13,Mg(7)Si(8)O(24)H(2),Berman,2971.72,-11342582,-12069031.71,535.1955,26.56,1219.31348,-5766.535,-34766144,4400898048,0,0,2.70597176,0.00031325,-0.1259006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORDIERITE,10,Mg(2)Al(4)Si(5)O(18),Berman,2119.16,-8651517,-9158726.56,417.97,23.311,954.3865,-7962.274,-2317258,-370214090,0,0,0.30028742,0.00018017,-0.11582515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KFELDSPAR,9,K(1)Al(1)Si(3)O(8),"Consistent with Sverjensky et al. (1991) June 24, 2020",970.06,-3752109,-3977484.78,214.1451,10.869,381.37231,-1941.045,-12037252,1836425472,0,0,1.514075,0.0005485,-0.1804511,0.0005112,0,0,0,0,0,0,282.98291,-4831.375,3620706,-0.15733,0.00003477,410630,298,1436
ALBITE,6,Na(1)Al(1)Si(3)O(8),"Consistent with Sverjensky et al. (1991) June 24, 2020, Above D1 line needed to compute stable ordering relative to high albite, using Landau-type function of Salje et al. (1985) in external ALBITE routine",956.68,-3710096,-3928421.2,224.412,10.083,393.63574,-2415.498,-7892826,1070636032,0,0,2.63072032,0.00032407,-0.19446932,0.00048611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANORTHITE,9,Al(2)Ca(1)Si(2)O(8),Berman,956.55,-4003221,-4228730.47,200.1861,10.075,439.36938,-3734.149,0,-317023232,0,0,1.09181141,0.00041985,-0.12724268,0.00031762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEHLENITE,9,Al(2)Ca(2)Si(1)O(7),Berman,876.795,-3785954,-3988157.8,198.6,9.033,373.0874,-2276.755,-4778466,477911808,0,0,2.49260884,0.00005664,-0.09964904,0.00024878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAOLINITE,9,Al(2)Si(2)O(9)H(4),Berman,1278.855,-3799770,-4120327.22,203.7,9.952,523.23291,-4426.668,-2244259,92308768,0,0,3.2,0,-0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIGORITE,10,Mg(24)Si(17)O(73.5)H(31),"Revised volume coefficients consistent with Hilairet et al. (2006) and Yang et al. (2014); half of the Berman formula, as used in DATA0",10668.8925,-33038264.5,-35682078.15,1801.4979,87.123,3697.25586,0,-274181504,43642060800,0,0,1.36,0.0004,-0.07425,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYROPHYLLITE,12,Al(2)Si(4)O(12)H(2),Berman,1493.52,-5266865,-5640780.66,239.4,12.76,665.93066,-5897.422,-4979913,661808896,0,0,1.26374216,0.00381661,-0.13544906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TALC,4,Mg(3)Si(4)O(12)H(2),Berman,1534.86,-5517657,-5897386.72,261.2405,13.61,664.10522,-5187.172,-2147218,-327371776,0,0,2.94468112,0,-0.16988979,0.0005665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUSCOVITE,9,K(1)Al(3)Si(3)O(12)H(2),Berman,1567.74,-5603417,-5983434.12,293.1567,14.087,651.48926,-3873.229,-18523200,2742469376,0,0,3.35273302,0,-0.17169021,0.00042947,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNITE,6,Si(3)Fe(3)Al(1)K(1)H(2)O(12),Berman,1592.88,-4800044,-5142800,420,15.408,727.208,-4775.04,-13831900,2119060000,0,0,3.44473262,0,-0.16969784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHLOGOPITE,10,K(1)Mg(3)Al(1)Si(3)O(12)H(2),"Consistent with Sverjensky et al. (1991) June 24, 2020",1609.08,-5833918,-6214036,334.158,14.977,610.37988,-2083.781,-21533008,2841040896,0,0,3.4473262,0,-0.16969784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARAGONITE,10,Na(1)Al(3)Si(3)O(12)H(2),"Consistent with Sverjensky et al. (1991) June 24, 2020",1554.36,-5570375,-5951011.14,277.6991,13.216,577.56934,-1472.801,-32214368,5050077184,0,0,3.94240896,0.00059701,-0.19732335,0.00049335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARGARITE,9,Ca(1)Al(4)Si(2)O(12)H(2),Berman,1554.23,-5852244,-6236602.96,265.0841,12.958,699.79565,-5587.105,-6807750,734321664,0,0,2.10185214,0.00124556,-0.11549004,0.00028862,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PREHNITE,8,Ca(2)Al(2)Si(3)O(12)H(2),Berman,1557.97,-5820154,-6198606.33,288.6335,14.016,716.05176,-6404.609,-2182456,268502784,0,0,0.14684075,0.01128353,-0.14269406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLINOCHLORE,11,Mg(5)Al(2)Si(3)O(18)H(8),Berman,2645.6,-8250546,-8909589.84,435.1545,21.147,1214.28442,-11217.129,0,-1256253184,0,0,2.64515406,0,-0.18194707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHAMOSITE,9,Fe(5)Al(2)Si(3)O(18)H(8),Berman,2618.6,-6495130,-7101970,583.2,21.34,1229.233,-10256.5,-12276900,2121510000,0,0,2.64515406,0,-0.18194707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYROPE,6,Mg(1.001)Al(0.666)Si(1)O(4),"Berman, formula redefined",480.6711,-1978869.667,-2095515.873,88.78636667,3.772,213.5733233,-1514.023333,-1567300,0,0,0,0.750621813,0.00012348,-0.019206967,1.47E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
